cue,switch_bfstm,vita_dpk_index,orig_candidate,switch_dur,vita_dur,similarity,dur_ratio,verdict
Y2_18_E_A,Y2_18_E_A.dspadpcm.bfstm,6838,6833,1.651,1.899,0.636,0.869,confirmed
Y2_18_E_B,Y2_18_E_B.dspadpcm.bfstm,6839,6834,1.771,1.92,0.775,0.922,confirmed
Y2_18_N_A,Y2_18_N_A.dspadpcm.bfstm,6841,6839,1.651,1.749,0.632,0.944,confirmed
Y2_18_N_B,Y2_18_N_B.dspadpcm.bfstm,6844,6840,1.771,1.899,0.654,0.933,confirmed
Y2_19_E_A,Y2_19_E_A.dspadpcm.bfstm,6845,6845,1.861,1.92,0.739,0.969,confirmed
Y2_19_E_B,Y2_19_E_B.dspadpcm.bfstm,6848,6846,1.888,2.091,0.627,0.903,confirmed
Y2_19_N_A,Y2_19_N_A.dspadpcm.bfstm,6851,6851,1.861,1.92,0.617,0.969,confirmed
Y2_19_N_B,Y2_19_N_B.dspadpcm.bfstm,6853,6852,1.888,1.877,0.667,0.994,confirmed
Y2_20_E_A,Y2_20_E_A.dspadpcm.bfstm,6869,6857,1.983,1.984,0.841,0.999,confirmed
Y2_20_E_B,Y2_20_E_B.dspadpcm.bfstm,6870,6858,1.968,2.112,0.868,0.932,confirmed
Y2_20_N_A,Y2_20_N_A.dspadpcm.bfstm,6871,6863,1.983,2.197,0.834,0.903,confirmed
Y2_20_N_B,Y2_20_N_B.dspadpcm.bfstm,6872,6864,1.968,2.155,0.937,0.913,confirmed
Y2_21_E_A,Y2_21_E_A.dspadpcm.bfstm,6873,6869,1.962,2.283,0.769,0.859,confirmed
Y2_21_E_B,Y2_21_E_B.dspadpcm.bfstm,6875,6870,1.905,1.984,0.916,0.96,confirmed
Y2_21_N_A,Y2_21_N_A.dspadpcm.bfstm,6876,6875,1.962,2.283,0.797,0.859,confirmed
Y2_21_N_B,Y2_21_N_B.dspadpcm.bfstm,6877,6876,1.905,2.197,0.916,0.867,confirmed
Y2_22_E_A,Y2_22_E_A.dspadpcm.bfstm,6878,6881,1.937,2.155,0.728,0.899,confirmed
Y2_22_E_B,Y2_22_E_B.dspadpcm.bfstm,6880,6882,2.07,2.368,0.841,0.874,confirmed
Y2_22_N_A,Y2_22_N_A.dspadpcm.bfstm,6882,6887,1.937,2.304,0.862,0.841,confirmed
Y2_22_N_B,Y2_22_N_B.dspadpcm.bfstm,6887,6888,2.07,2.176,0.883,0.951,confirmed
Y3_01_E_A,Y3_01_E_A.dspadpcm.bfstm,6894,6894,1.712,1.899,0.687,0.902,confirmed
Y3_01_E_B,Y3_01_E_B.dspadpcm.bfstm,6897,6895,1.905,2.048,,0.93,no-speech-durmatch
Y3_01_N_A,Y3_01_N_A.dspadpcm.bfstm,6899,6900,1.712,2.24,0.72,0.764,confirmed
Y3_01_N_B,Y3_01_N_B.dspadpcm.bfstm,6900,6901,1.905,2.069,0.595,0.921,confirmed
Y3_02_E_A,Y3_02_E_A.dspadpcm.bfstm,6901,6906,1.702,2.197,0.705,0.775,confirmed
Y3_02_E_B,Y3_02_E_B.dspadpcm.bfstm,6903,6907,1.863,2.24,0.744,0.832,confirmed
Y3_02_N_A,Y3_02_N_A.dspadpcm.bfstm,6919,6912,1.702,1.707,0.787,0.997,confirmed
Y3_02_N_B,Y3_02_N_B.dspadpcm.bfstm,6923,6913,1.863,2.069,0.811,0.9,confirmed
Y3_03_E_A,Y3_03_E_A.dspadpcm.bfstm,6924,6918,1.503,2.048,0.909,0.734,confirmed
Y3_03_E_B,Y3_03_E_B.dspadpcm.bfstm,6925,6919,1.541,1.707,0.956,0.903,confirmed
Y3_03_N_A,Y3_03_N_A.dspadpcm.bfstm,6926,6924,1.503,2.24,0.957,0.671,confirmed
Y3_03_N_B,Y3_03_N_B.dspadpcm.bfstm,6927,6925,1.541,2.219,0.877,0.694,confirmed
Y3_04_E_A,Y3_04_E_A.dspadpcm.bfstm,6930,6930,1.962,2.112,0.724,0.929,confirmed
Y3_04_E_B,Y3_04_E_B.dspadpcm.bfstm,6931,6931,1.716,1.877,,0.914,no-speech-durmatch
Y3_04_N_A,Y3_04_N_A.dspadpcm.bfstm,6933,6936,1.962,2.283,0.774,0.859,confirmed
Y3_04_N_B,Y3_04_N_B.dspadpcm.bfstm,6935,6937,1.716,2.197,0.759,0.781,confirmed
Y3_05_E_A,Y3_05_E_A.dspadpcm.bfstm,6936,6942,1.823,2.283,0.798,0.799,confirmed
Y3_05_E_B,Y3_05_E_B.dspadpcm.bfstm,6937,6943,1.609,1.877,0.807,0.857,confirmed
Y3_05_N_A,Y3_05_N_A.dspadpcm.bfstm,6940,6948,1.823,2.048,0.786,0.89,confirmed
Y3_05_N_B,Y3_05_N_B.dspadpcm.bfstm,6942,6949,1.609,2.005,0.821,0.802,confirmed
Y3_06_E_A,Y3_06_E_A.dspadpcm.bfstm,6943,6954,1.887,1.856,0.404,0.984,low-confidence
Y3_06_E_B,Y3_06_E_B.dspadpcm.bfstm,6946,6955,1.975,2.027,0.355,0.974,low-confidence
Y3_06_N_A,Y3_06_N_A.dspadpcm.bfstm,6949,6960,1.887,1.856,0.643,0.984,confirmed
Y3_06_N_B,Y3_06_N_B.dspadpcm.bfstm,6952,6961,1.975,2.027,0.679,0.974,confirmed
Y3_07_E_A,Y3_07_E_A.dspadpcm.bfstm,6955,6966,2.0,1.963,,0.982,no-speech-durmatch
Y3_07_E_B,Y3_07_E_B.dspadpcm.bfstm,6956,6967,1.896,2.453,0.803,0.773,confirmed
